,Unnamed: 0,instNum,instName,city,s\bagrut- list of schools.xlsx,es\main list - highschool.xlsx,all_files\school - bagrut.xlsx,list from students report.xlsx,nts/all_files\schools_utm.xlsx, list from school - money.xlsx
0,0,117002.0,אל-מוטראן,ירושלים,False,False,False,True,True,True
1,1,117010.0,"ביה""ס אל-פריר",ירושלים,False,False,False,True,True,True
2,2,118158.0,איבן אל-היית'ם,ירושלים,False,False,False,False,False,False
3,3,120014.0,נוף הרים,איתנים,False,False,False,False,True,False
4,4,120030.0,"אלי""ן",ירושלים,False,False,False,False,True,False
5,5,120055.0,בית חנוך עוורים מד,ירושלים,False,False,False,True,True,False
6,6,120071.0,"בן יהודה מ""מ",ירושלים,False,False,False,True,True,False
7,7,120105.0,"בי""ח הדסה - מ. ילדים",ירושלים,False,False,False,False,True,False
8,8,120113.0,בית ספר תיכון מקצועי,ירושלים,False,False,False,True,True,False
9,9,120121.0,מיוחד כיח לחרשים,ירושלים,False,False,False,True,True,False
10,10,120154.0,מיוחד ניצנים מד,ירושלים,False,False,False,True,True,False
11,11,120212.0,בית רחל שטראוס,ירושלים,False,False,False,True,True,False
12,12,120238.0,קרית יערים,קרית יערים(מוסד),False,True,True,True,True,True
13,13,120287.0,"אילנות מ""מ",ירושלים,False,False,False,True,True,False
14,14,120329.0,מחלקת ילדים,ירושלים,False,False,False,False,False,False
15,15,120428.0,המעין,ירושלים,False,False,False,True,True,False
16,16,120436.0,הטנה,ירושלים,False,False,False,True,True,False
17,17,120477.0,מגן אברהם,ירושלים,False,False,False,False,False,False
18,18,120485.0,אוצר ירושלים שיח סוד,ירושלים,False,False,False,True,True,False
19,19,120493.0,"דקלים ממ""ד",ירושלים,False,False,False,True,True,False
20,20,120527.0,אלונים,ירושלים,False,False,False,True,True,False
21,21,120543.0,פוירשטיין,ירושלים,False,False,False,True,True,False
22,22,124024.0,קרן אור,ירושלים,False,False,False,True,True,False
23,23,128017.0,אלנור מעון יום ים,ירושלים,False,False,False,True,True,False
24,24,128033.0,אל אמל,ירושלים,False,False,False,True,True,False
25,25,128041.0,בכריה אלוין,ירושלים,False,False,False,True,True,False
26,26,132019.0,עלה ירושלים,ירושלים,False,False,False,True,True,False
27,27,132241.0,הבן יקיר לי,ירושלים,False,False,False,True,True,False
28,28,140012.0,אולפנא תורנית חורב,ירושלים,False,False,True,True,True,True
29,29,140038.0,עירוני דתי רוטשילד,ירושלים,False,True,True,True,True,True
30,30,140046.0,עירוני ג',ירושלים,False,True,True,True,True,True
31,31,140053.0,אקדמיה למוסיקה,ירושלים,False,True,True,True,True,True
32,32,140061.0,תכון ליד האוניברסיטה,ירושלים,False,True,True,True,True,True
33,33,140079.0,הגמנסיה העברית,ירושלים,False,True,True,True,True,True
34,34,140087.0,רנה קסין דרכא,ירושלים,False,True,True,True,True,True
35,35,140095.0,חוות הנוער הציוני,ירושלים,False,True,True,True,True,True
36,36,140103.0,"תיכון ע""ש בויאר",ירושלים,False,False,True,True,True,True
37,37,140129.0,קרית נוער ירושלים,ירושלים,False,True,True,True,True,True
38,38,140137.0,ישיבת נתיב מאיר,ירושלים,False,True,True,True,True,True
39,39,140145.0,ישיבת חורב,ירושלים,False,False,True,True,True,True
40,40,140160.0,ישיבת ים לצעירים,ירושלים,False,True,True,True,True,True
41,41,140186.0,"תורני ע""ש פ. הימלפרב",ירושלים,False,True,True,True,True,True
42,42,140202.0,"אמי""ת שחר",בית שמש,False,True,True,True,True,True
43,43,140236.0,תורני נסויי בנות פלך,ירושלים,False,True,True,True,True,True
44,44,140251.0,ישיבת תיכון קול מבשר,מבשרת ציון,False,True,True,True,True,True
45,45,140269.0,מקיף דנמרק,ירושלים,False,True,True,True,True,True
46,46,140277.0,מדרשיית עמליה,ירושלים,False,True,True,True,True,True
47,47,140434.0,ישיבת תורת אמת,ירושלים,False,True,False,True,True,True
48,48,140442.0,ישיבת אור ברוך,ירושלים,False,True,False,True,True,True
49,49,140491.0,אולפנת צביה ירושלים,ירושלים,False,True,True,True,True,True
50,50,140525.0,אולפנא ירושלים,ירושלים,False,True,True,True,True,True
51,51,140541.0,ישיבת עטרת ישראל,ירושלים,False,True,False,True,True,True
52,52,140574.0,ישיבת בית מרדכי,ירושלים,False,True,False,True,True,True
53,53,140582.0,ישיבת אוהל מועד,ירושלים,False,True,False,True,True,True
54,54,140608.0,מכון הברכה,ירושלים,False,True,True,True,True,True
55,55,140632.0,מכון אהרון וישראל,ירושלים,False,True,False,True,True,True
56,56,140665.0,אולפנא לבנות,קרית ארבע,False,True,True,True,True,True
57,57,140673.0,ישיבת חסידי בעלז,ירושלים,False,True,False,True,True,True
58,58,140681.0,ישיבת יקירי ירושלים,ירושלים,False,True,False,True,True,True
59,59,140715.0,תיכון בית יעקב,ירושלים,False,True,True,True,True,True
60,60,140723.0,"מקיף ע""ש זיו",ירושלים,False,True,True,True,True,True
61,61,140731.0,מקיף גילה,ירושלים,False,True,True,True,True,True
62,62,140749.0,ישיבת תפארת ישראל,ירושלים,False,True,False,True,True,True
63,63,140764.0,ישיבת נוה שמואל,אפרתה,False,True,True,True,True,True
64,64,140772.0,חטיב פסגת זאב,ירושלים,False,False,False,False,False,False
65,65,140780.0,ישיבת כוכב מיעקב,ירושלים,False,True,False,True,True,True
66,66,140798.0,ישיבת אוהל שמעון,ירושלים,False,True,False,True,True,True
67,67,140806.0,תיכון לאומנויות,ירושלים,False,False,True,True,True,True
68,68,140814.0,ישיבת אור אלחנן,ירושלים,False,True,False,True,True,True
69,69,140822.0,בית מלכה,ירושלים,False,True,False,True,True,True
70,70,140848.0,קרית חינוך,בית שמש,False,True,True,True,True,True
71,71,140855.0,"חט""ב מבשרת",מבשרת ציון,False,False,False,False,False,False
72,72,140863.0,דקל - וילנאי,מעלה אדומים,False,True,True,True,True,True
73,73,140871.0,תיכון גבעת גונן,ירושלים,False,True,True,True,True,True
74,74,140889.0,"חט""ב בנים קרית ארבע",קרית ארבע,False,False,False,False,False,False
75,75,140913.0,נוה חנה,אלון שבות,False,True,True,True,True,True
76,76,140921.0,ישיבת בית אברהם,ירושלים,False,True,False,True,True,True
77,77,140939.0,"ישיבת בנ""ע מטה בנימין",בית אל,False,True,True,True,True,True
78,78,140947.0,ישיבת מעלות התורה,ירושלים,False,True,False,True,True,True
79,79,140954.0,ישיבת מערבא,מתתיהו,False,True,True,True,True,True
80,80,140962.0,עירוני מסורתי,ירושלים,False,True,True,True,True,True
