school,city,per student
360537,ירושלים,359093.33
358127,ירושלים,220848.6529
353706,בנימינה גבעת עדה,218266.4719
512491,הגליל התחתון,209832.762
620385,קרית שמונה,198231.8118
731182,מודיעין מכבים רעות,197215.423
120493,ירושלים,193121.9151
325969,חיפה,180250.9132
320457,חדרה,179548.6807
610287,חורה,175995.8992
641431,מרחבים,174209.644
384099,כפר קרע,166673.0882
620419,באר שבע,162152.6401
120287,ירושלים,161136.2195
228445,מג'אר,161089.7182
620260,ירושלים,159806.1358
228064,נצרת,159629.103
482034,לב השרון,157172.1974
223362,ירושלים,157123.5747
120212,ירושלים,155758.7441
620344,שדרות,153562.2623
520502,חולון,152216.5044
473991,טייבה,150780.9983
620476,ירושלים,148643.9318
131086,מטה יהודה,147393.1072
320390,חיפה,145704.2771
520890,תל אביב-יפו,144466.7233
220384,עפולה,143523.6482
421040,הוד השרון,143056.2495
120436,ירושלים,140226.5819
620252,אשדוד,140103.4758
620047,באר שבע,139971.2208
620526,אשדוד,139266.7956
421149,פתח תקוה,139246.875
520627,חולון,138660.5174
520056,הרצליה,138035.29
620302,ירושלים,137784.4453
520023,בת ים,136921.9354
620211,דימונה,136802.5721
421081,גדרה,136775.319
421032,רחובות,136690.9311
120428,ירושלים,136244.2443
525915,תל אביב-יפו,136173.2726
120014,מטה יהודה,135770.7656
620559,באר שבע,135452.7499
220491,מטה אשר,134652.0749
520635,תל אביב-יפו,134555.2579
146878,ירושלים,133838.3819
421115,ראשון לציון,133709.6819
220442,עכו,132765.1012
338012,ירושלים,132061.9695
627067,תל שבע,131581.8026
420356,פתח תקוה,130714.0955
620187,אשדוד,130396.3299
420539,ראש העין,130359.5041
520387,תל אביב-יפו,130295.1933
719740,אום אל-פחם,130070.3649
620112,אשקלון,128984.6022
620054,באר שבע,128321.0062
644054,אילת,127342.2094
220103,בית שאן,127083.1587
160374,מטה בנימין,126880.4305
620013,אשקלון,125508.2781
420083,נס ציונה,124289.9595
428078,כפר קאסם,123949.6457
420471,רחובות,123829.3982
620229,בית שמש,123771.2515
220533,מטה אשר,123422.9442
120006,ירושלים,122221.086
620104,באר שבע,121542.4063
456616,חוף השרון,120981.7828
120071,ירושלים,120011.7231
228288,עראבה,119981.2533
420513,ראש העין,119684.1341
228353,בעיינה-נג'יידאת,119286.8908
420828,ראשון לציון,119228.7862
733873,בני ברק,119148.749
384164,פרדס חנה-כרכור,118891.4808
420521,פתח תקוה,118829.6207
322040,טירת כרמל,118656.7692
128041,ירושלים,118606.5469
725689,פתח תקוה,117773.9134
120055,ירושלים,117676.2139
344036,חיפה,117608.6695
421107,לוד,117082.457
120121,ירושלים,116525.0293
526970,פתח תקוה,116434.2656
328070,ערערה,116381.7844
520221,תל אביב-יפו,116207.0551
520874,בני ברק,115996.7706
220376,טבריה,115863.3859
220426,כרמיאל,114971.3494
420174,דרום השרון,114966.7465
228361,כסרא-סמיע,114844.272
620443,ירושלים,114763.0104
228262,כפר מנדא,114395.9145
731935,נתניה,114023.9823
520585,בת ים,112941.142
328096,באקה אל-גרביה,112869.3873
428037,טירה,112838.5898
420414,הוד השרון,111197.455
520130,תל אביב-יפו,111186.2813
320523,חיפה,111157.7785
520304,ירושלים,110672.0063
320036,חיפה,109944.3783
420190,רמלה,109217.3929
424556,עראבה,108847.6568
220434,עמק המעיינות,108460.2443
228205,סח'נין,108415.0838
729418,ירושלים,108075.3752
420331,לוד,107400.4913
124024,ירושלים,107381.2382
228254,שפרעם,107334.9007
328039,אום אל-פחם,106890.9079
421172,חדרה,106858.5278
344465,חיפה,106267.9448
420224,נתניה,105788.6165
525923,חולון,105573.6234
132019,ירושלים,105267.5873
620427,מרחבים,104388.5258
420257,רעננה,104006.6346
620393,ירושלים,103893.0829
267476,מג'ד אל-כרום,103527.5831
475616,מודיעין עילית,102903.7761
338061,ירושלים,102626.5426
220202,עפולה,102237.8829
420463,מעלה אדומים,101608.7565
228379,אבו סנאן,101506.1585
627042,תל שבע,101080.0262
220046,קרית שמונה,100954.2237
421123,רעננה,100086.9212
328161,חיפה,100060.3638
228015,נצרת,99942.49774
338079,ירושלים,99924.41543
313569,רכסים,99906.84589
530741,בני ברק,99603.40886
470815,ירושלים,99579.37677
520205,תל אביב-יפו,99210.06158
644146,אשדוד,99160.04927
220525,משגב,98917.09018
544056,תל אביב-יפו,98654.73499
228296,ג'דיידה-מכר,98154.95023
526889,רמת גן,97979.50372
410480,ירכא,97670.32491
620369,אשקלון,97641.33761
411777,בית שמש,97308.82585
421099,גדרה,96639.79332
328088,חיפה,96102.26505
228346,ירכא,95948.64534
384123,פרדס חנה-כרכור,95762.41389
220020,נהריה,94708.6008
320580,זבולון,94623.24359
244632,נוף הגליל,94551.39507
620328,אשדוד,94548.98978
627018,כסיפה,94067.18055
620153,אשדוד,93259.10745
420109,נתניה,93000.33845
627000,רהט,92793.46637
620088,קרית מלאכי,92507.38494
320432,חדרה,92439.58976
620278,גבעת זאב,92134.97418
428011,טייבה,91679.15625
610360,נווה מדבר,91104.203
338731,אום אל-פחם,91067.09992
640219,אופקים,90304.33284
120543,ירושלים,90154.08554
420158,ראשון לציון,89976.45925
420364,ראשון לציון,89840.66321
420067,כפר סבא,89231.77067
320531,קרית אתא,88584.01042
120154,ירושלים,88446.14864
447474,עין מאה'ל,88309.19894
359034,מג'ד אל-כרום,88184.50684
168054,גוש עציון,88143.84007
627026,ערערה בנגב,88051.72253
442350,עמק חפר,87861.78436
160754,ירושלים,87513.96295
420059,מבואות החרמון,87133.0589
320515,זבולון,87026.92624
128033,ירושלים,86959.09608
620336,באר שבע,86035.51373
165845,ירושלים,85921.6673
771287,עכו,85808.33134
420307,לוד,85651.6101
367748,מנשה,85582.87242
338202,מודיעין עילית,85448.85305
420968,ראשון לציון,85347.74058
428086,טירה,85125.35931
627034,רהט,85094.73412
525089,בני ברק,85092.71274
175448,בית שמש,84972.67266
228122,נצרת,84672.11716
618686,חורה,84606.91662
640144,אל קסום,84584.68921
421180,גזר,84521.02983
722272,בית שמש,84339.37336
844043,הגלבוע,84274.5544
228247,נצרת,83492.54074
566943,חולון,83243.4894
228130,טמרה,83179.25294
344028,חיפה,82994.86767
228312,כפר כנא,82852.20148
444141,פתח תקוה,82422.17108
120113,ירושלים,82220.6823
220038,עכו,82196.42993
228577,טמרה,81888.00328
