,city,normalized SD
130,בנימינה גבעת עדה,285.8488095
46,לב השרון,231.896647
186,כסרא-סמיע,171.361717
154,גבעת זאב,150.3531978
143,הגליל התחתון,146.9791197
70,מג'אר,145.1930218
193,בעיינה-נג'יידאת,142.7799278
95,שדרות,134.3623424
172,מבואות החרמון,124.7042984
58,ערערה,118.1764254
134,טירת כרמל,118.0501669
19,מרחבים,117.303435
166,כפר קאסם,101.3794347
94,תל שבע,99.98819555
214,עין מאה'ל,99.53303903
97,חורה,99.12798241
212,יואב,98.23980337
74,קרית שמונה,96.41471944
153,חוף השרון,95.73689988
63,כפר מנדא,95.34855004
136,עראבה,95.21631548
114,דרום השרון,94.20500042
99,כסיפה,93.09391656
161,טייבה,91.11439931
152,גדרה,89.75417186
113,כפר קרע,86.12743022
148,אבו סנאן,85.17695342
62,באקה אל-גרביה,81.7520834
8,קרית טבעון,80.18126845
45,הגלבוע,79.9921446
195,ג'דיידה-מכר,79.39324517
175,ראש העין,75.88219811
158,הוד השרון,73.98184333
133,משגב,73.42988641
77,אבו גוש,73.39750618
25,בית שאן,72.4868969
151,קדומים,71.96191413
93,ערערה בנגב,70.83919997
101,מבשרת ציון,70.32596746
132,מטה אשר,70.14186342
30,נס ציונה,70.02588689
51,נוף הגליל,68.95809753
156,רכסים,66.73184847
102,נווה מדבר,66.51270966
44,גזר,63.67417732
106,אילת,63.40165121
119,אעבלין,63.36111941
91,רמת נגב,62.9336333
61,מודיעין מכבים רעות,61.82366989
96,פרדס חנה-כרכור,61.27020507
90,עמק המעיינות,59.61786537
139,כפר כנא,59.20823368
108,דימונה,58.36550269
149,גוש עציון,56.41015936
67,סח'נין,56.005303
38,טירה,55.26859929
100,מצפה רמון,54.78966236
5,מטה יהודה,54.60909206
169,אכסאל,54.42069466
174,חבל מודיעין,54.39219771
112,אל קסום,53.77879999
53,פוריידיס,52.96377069
103,עפולה,52.52488727
194,מג'ד אל-כרום,51.66879095
88,ירכא,50.49544014
83,חצור הגלילית,47.2329216
84,נהריה,47.2211765
87,רהט,47.16911873
80,כרמיאל,46.64002459
54,אום אל-פחם,46.41246351
141,משהד,46.33244868
48,יבנאל,46.06789591
209,ג'ת,45.16486382
224,כפר ורדים,45.1522613
50,קרית אתא,45.02599835
57,אור עקיבא,44.89057926
66,שפרעם,44.81150893
86,זכרון יעקב,44.69893626
85,עכו,44.64801084
147,מעלה אדומים,44.62796615
22,חדרה,44.26594992
150,קרית מלאכי,44.12064801
4,אופקים,43.74803293
64,באר יעקב,43.67845049
223,אריאל,43.0928023
176,שומרון,42.85368752
