school,city,average badget,per student
844076,לב השרון,46015898.13,19375.115
580019,רמת השרון,45006929.28,20675.7301
280065,הגליל התחתון,43534056.33,28202.9388
770826,באר שבע,43021974.69,22650.2973
370312,קרית ביאליק,42153506.9,35005.4035
540211,רמת גן,42072729.01,20573.46162
144329,מודיעין מכבים רעות,41722120.5,22282.69627
370072,חדרה,41523454.92,21436.99273
244368,כרמיאל,40608175.61,30740.48116
440289,יהוד נווה אפרים,39729186.21,23956.33515
540286,קרית אונו,38120351.06,23947.95267
541110,חולון,38049253.38,21065.91373
660134,באר טוביה,37955832.64,19109.77376
640037,באר שבע,37564146.18,22552.92158
340281,חדרה,37172702.78,20904.68045
440065,ראשון לציון,37028959.03,21283.45731
770552,באר שבע,36839623.01,28096.11273
771071,ראשון לציון,36394202.94,23890.11615
244152,נהריה,36235945.7,22672.97316
670042,באר שבע,35205562.6,21018.24633
240481,משגב,35107423.53,21665.89949
244285,כרמיאל,34879157.36,26653.79593
640060,אשקלון,34785617.07,25763.30697
240010,קרית שמונה,34784620.02,27876.75911
280057,עמק יזרעאל,34754549.55,24034.9582
471011,נתניה,34751319.29,25696.03615
190066,ירושלים,34726846.81,19538.00316
540203,רמת גן,34710380.87,22480.81663
440180,אבן יהודה,34654947.84,22439.10117
480046,עמק חפר,34624880.51,21986.8431
644294,אשקלון,34562761.69,22607.7719
570036,תל אביב-יפו,34473136.46,20722.01038
540401,בני ברק,33632905.54,17831.03888
440016,רחובות,33386215.31,25162.95999
260232,הגליל העליון,33382762.72,33631.63684
340216,חיפה,33209853.33,18895.00076
380030,פרדס חנה-כרכור,32795813.5,21232.56085
441279,תל מונד,32675872.74,18753.37049
644559,אשקלון,32345615.36,22752.96522
280032,עפולה,32054742.41,28635.64625
660126,שער הנגב,31960036.97,25236.92117
440107,פתח תקוה,31940808.84,21445.4202
270140,יקנעם עילית,31582672.42,25057.65822
370395,בנימינה גבעת עדה,31436631.32,20665.67928
640672,אשדוד,31397912.03,23739.5373
140863,מעלה אדומים,31300709.63,25962.76512
270298,נהריה,31212364.55,23939.53409
440917,ראשון לציון,31071083.88,24255.3348
570168,חולון,30953442.96,21853.60277
248625,ג'דיידה-מכר,30708035.06,21210.13611
340018,חיפה,30575474.46,29242.03754
640227,ערד,30563001.37,27042.11765
260489,מעלה יוסף,30506309.84,28106.05292
648048,רהט,30441089.88,17331.52464
644534,באר שבע,30435971.55,20996.11724
800078,עין מאה'ל,30377851.71,19336.6338
340315,חיפה,30162984.31,20105.97541
340117,קרית אתא,30120752.76,24310.53491
170803,מעלה אדומים,30049317.9,24151.51736
648063,שגב שלום,30042775.54,21827.06738
770453,רחובות,30005937.34,22731.77071
470096,נתניה,29756139.89,21853.80427
644690,אילת,29537710.01,24788.27628
570259,אור יהודה,29438749.58,19963.88823
644583,אשדוד,29383666.21,21255.54558
648139,כסיפה,29357204.71,20237.97374
640482,אשדוד,29318250.22,27252.50997
270041,עפולה,29314258.9,25763.98216
144683,מודיעין מכבים רעות,29266243.13,21158.35969
441287,ראשון לציון,29264337.29,22066.30772
470187,נתניה,29075939.68,26655.61026
240192,מגדל העמק,29007117.7,29478.77815
340133,חיפה,28908237.14,24843.79266
648071,ערערה בנגב,28840824.89,18433.35351
540195,תל אביב-יפו,28747013.28,21322.51393
240457,גולן,28706451.06,39045.7713
670067,אשקלון,28653400.32,26172.2692
